datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1904.183,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,DUQ,DUQ,1311.702,False
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,DPL,EASTON,27.929,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,SERC,WEST,EKPC,EKPC,1776.374,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,JC,JC,1997.857,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,ME,ME,1357.008,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,ATSI,OE,5773.709,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,OVEC,OVEC,37.000,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,ATSI,PAPWR,409.039,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,PE,PE,3635.300,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,2287.363,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,PL,PLCO,3789.710,False
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,PN,PN,1579.220,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,PS,PS,3941.314,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,RECO,RECO,122.933,False
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,PEP,SMECO,428.814,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,PL,UGI,102.133,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,AE,VMEU,62.037,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RTO,RTO,RTO,RTO,79485.638,False
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,MIDATL,AE,AECO,866.286,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,WEST,AEP,AEPAPT,4416.696,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,WEST,AEP,AEPIMP,2472.701,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,WEST,AEP,AEPKPT,705.166,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,WEST,AEP,AEPOPT,6033.079,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,WEST,AP,AP,5254.609,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,MIDATL,BC,BC,3128.855,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,WEST,CE,CE,8786.255,True
